price	title	description	link	image_link	id	availability	product_type
380.00 UAH	Пакеты майка с рисунком "Подсолнух"	Ширина: 290 мм                     Длина: 490 мм                     Толщина: 20 мкм                     Максимальная Нагрузка: 7 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-s-risunkom/paket-majka-s-risunkom-i-love-ua-v-kompanii-ukpak-podsoinuh	https://www.ukrpak.com/components/com_jshopping/files/img_products/__________________.jpg	132	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» с Рисунком
370.00 UAH	Пакеты майка с рисунком "Яблочко"	Ширина: 290 мм                     Длина: 490 мм                     Толщина: 19 мкм                     Максимальная Нагрузка: 7 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-s-risunkom/paket-majka-s-risunkom-i-love-ua-v-kompanii-ukpak-podsoinuh190418164600	https://www.ukrpak.com/components/com_jshopping/files/img_products/_________________________________________________1.jpg	238	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» с Рисунком
68.90 UAH	Пакеты майка без рисунка (22x36)	Ширина: 220 мм                     Длина: 360 мм                     Толщина: 6 мкм                     Максимальная Нагрузка: 5 кг                     Цвет: в ассортименте	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-bez-risunka/zakazat-paket-fasovochnyj-majka-bez-risunka-22x36-v-kompanii-ukr-pak-kharkov	https://www.ukrpak.com/components/com_jshopping/files/img_products/Mayka36_white.jpg	32	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» Без Рисунка
128.70 UAH	Пакеты майка без рисунка (24x42)	Ширина: 240 мм                     Длина: 430 мм                     Толщина: 9 мкм                     Максимальная Нагрузка: 7 кг                     Цвет: в ассортименте	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-bez-risunka/zakazat-paket-fasovochnyj-majka-bez-risunka-24x42-v-kompanii-ukr-pak-kharkov	https://www.ukrpak.com/components/com_jshopping/files/img_products/Mayka42_white.jpg	58	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» Без Рисунка
23.60 UAH	Пакеты майка без рисунка в рулоне (22*42)	Ширина: 220 мм                     Длина: 420 мм                     Толщина: 7 мкм                     Максимальная Нагрузка: 3 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-v-rulone/paket-majka-bez-risunka-v-rulone-22-42	https://www.ukrpak.com/components/com_jshopping/files/img_products/Maykarul22x42.jpg	102	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» в Рулоне
56.10 UAH	Пакеты майка без рисунка в рулоне (22*45)	Ширина: 220 мм                     Длина: 450 мм                     Толщина: 12 мкм                     Максимальная Нагрузка: 5 кг                     Цвет: Розовый	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-v-rulone/paket-majka-bez-risunka-v-rulone-22-45	https://www.ukrpak.com/components/com_jshopping/files/img_products/Maykarul22x45r.jpg	103	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» в Рулоне
16.30 UAH	Пакеты фасовочные No2 "Монблан"	Ширина: 100 мм                     Длина: 270 мм                     Толщина: 10 мкм                     Максимальная Нагрузка: 4 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-fasovochnye/pakety-fasovochnye-2/paket-fasovochnyj-monblan-2	https://www.ukrpak.com/components/com_jshopping/files/img_products/_________________2.jpg	23	in stock	Пакеты Полиэтиленовые > Пакеты Фасовочные > Пакеты Фасовочные № 2
51.30 UAH	Пакеты фасовочные No9 "London" (new)	Ширина: 180 мм                     Длина: 350 мм                     Толщина: 9 мкм                     Максимальная Нагрузка: 3 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-fasovochnye/pakety-fasovochnye-9/zakazat-paket-fasovochnyj-london-9-standart-v-kompanii-ukr-pak-kharkov180105120532	https://www.ukrpak.com/components/com_jshopping/files/img_products/London9.jpg	129	in stock	Пакеты Полиэтиленовые > Пакеты Фасовочные > Пакеты Фасовочные № 9
64.10 UAH	Пакеты фасовочные в рулоне No10	Ширина: 260 мм                     Длина: 320 мм                     Толщина: 10 мкм                     Максимальная Нагрузка: 4 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-fasovochnye/pakety-fasovochnye-v-rulone/pakety-v-rulone-10	https://www.ukrpak.com/components/com_jshopping/files/img_products/MaykaRul.jpg	101	in stock	Пакеты Полиэтиленовые > Пакеты Фасовочные > Пакеты Фасовочные в Рулоне
1000.00 UAH	Пакеты банан для домов кофе	Ширина: 260 мм                     Длина: 350 мм                     Толщина: 45 мкм                     Максимальная Нагрузка: 3 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-banan-s-proreznoj-ruchkoj/zakazat-paket-banan-s-prorubnoj-ruchkoj-boxx-v-kompanii-ukr-pak-kharkov190331000512190401093825190401102157190401110912190402142157	https://www.ukrpak.com/components/com_jshopping/files/img_products/_____________________________________.jpg	153	in stock	Пакеты Полиэтиленовые > Пакеты Банан с Прорубной Ручкой
