price	title	description	link	image_link	id	availability	mpn	product_type
908.00 UAH	Рюкзак Городской Winner-stile 412-1 Черный с Красным Значком	Молодежный рюкзак. Отделения:  в рюкзаке два отделения. Передний клапан жёсткий. 1) в первом (у спинки) – основное большое отделение с карманом. 2) во втором отделении – органайзер для письменных принадлежностей. Карманы:  по бокам два сетчатых кармана на резинке. В комплекте:  бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей:  качественные молнии фирмы «SBS» + фирменные бегунки и фурнитура.  Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Плечевые вентилируемые лямки с укрепляющими ремнями в форме «Маечки». Грудное крепление. Вентилируемая спинка. Слот переходник для usb.	https://nicktoys.com.ua/product/rjukzak-gorodskoj-winner-stile-412-1-chernyj-s-krasnym-znachkom/	https://nicktoys.com.ua/wp-content/uploads/2020/02/412-1-1-800x867.jpg	1570230180	in stock	PL-00031651	Рюкзаки
908.00 UAH	Рюкзак Городской Winner-stile 412-2 Черный с Серым Значком	Молодежный рюкзак. Отделения:  в рюкзаке два отделения. Передний клапан жёсткий. 1) в первом (у спинки) – основное большое отделение с карманом. 2) во втором отделении – органайзер для письменных принадлежностей. Карманы:  по бокам два сетчатых кармана на резинке. В комплекте:  бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей:  качественные молнии фирмы «SBS» + фирменные бегунки и фурнитура.  Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Плечевые вентилируемые лямки с укрепляющими ремнями в форме «Маечки». Грудное крепление. Вентилируемая спинка. Слот переходник для usb.	https://nicktoys.com.ua/product/rjukzak-gorodskoj-winner-stile-412-2-chernyj-s-serym-znachkom/	https://nicktoys.com.ua/wp-content/uploads/2020/02/412-2-1-800x867.jpg	825720909	in stock	PL-00031652	Рюкзаки
700.00 UAH	Рюкзак Школьный Для Девочек Winner-stile 194-1-2 чёрно-розовый	Изделие из полиэстера с оригинальным принтом. Рюкзак с ортопедической вентилируемой спинкой ergo teens, анатомическими лямками правильной S-образной формы обеспечивает его плотное прилегание к спине, минимизируют давление на плечи и позвоночник, дарит ощущение комфорта. Регулируемые лямки и небольшой вес, всего 830 г, делают рюкзак необременительным для пользователей.Рюкзак состоит из 2 отделений, переднего, внутреннего и 2 боковых карманов, для бутылки с водой. Передний карман содержит удобный органайзер для канцелярии и личных вещей. Контрастная подкладка помогает быстро отыскать нужные вещи.Светоотражающие элементы обеспечивают безопасность на дороге в темное время суток. Надежная фирменная фурнитура sbs обеспечивает легкое и плавное открытие молний. Ткань прошла сложные тесты на износостойкость и разрывы, устойчивая к воздействию внешних факторов. Материал не выгорает, сохраняет свойс внешний вид длительное время!	https://nicktoys.com.ua/product/rjukzak-shkolnyj-dlja-devochek-winner-stile-194-1-2-chjorno-rozovyj/	https://nicktoys.com.ua/wp-content/uploads/2020/02/194-1-2-800x800.jpg	2255167119	in stock	PL-00031580	Школьные Наборы и Ранцы
958.00 UAH	Ранец Школьный Для Мальчиков Winner-stile 2035 Синий с Черным	Ранец школьный «Раскладушка», – это классическая модель ранцев, которая так полюбилась школьникам. Несмотря на такую популярность, наша модель имеет что-то свое особенное и красивое, такой ранец выделит вашего ребенка и станет отличным дополнением к его гардеробу. Данная модель может полностью раскладываться и принимать плоскую форму. Отделения: в центральном отделении имеется два разделителя и резинка  для крепления школьных принадлежностей. На передней части ранца расположен карман на молнии, украшенный объемной 3D картинкой. Два кармана по бокам. В комплекте: бирка с индивидуальным штрих кодом и описанием. Брелок – мячик имеет ряд качественных и удобных деталей. • качественные молнии фирмы « sbs » + фирменные бегунки и фурнитура. • удобная ручка для переноски ранца. • вентилируемые мягкие лямки для снижения нагрузки с плеч ребенка. • светоотражающие элементы расположены на передней, задней и боковой частях ранца для обеспечения безопасности в темное время суток. • ножки, обеспечивают устойчивость ранца. • дополнительными строчками для укрепления  прошиты все места, на которые приходятся основные нагрузки • облегченный каркас ранца изготовлен по жестко каркасной технологии, что обеспечивает правильную эргономичную форму. Каркас не деформируется при нагрузке и распределяет вес по всей площади ранца. • эргономичная спинка ранца разработана с учетом анатомии ребенка. Позвоночник защищен специально сконструированной спинкой, что делает ношение ранца максимально удобным. • разделители для удобного распределения , фиксации тетрадей и учебников. • передний  клапан ранца, украшен объемной 3D картинкой.	https://nicktoys.com.ua/product/ranec-shkolnyj-dlja-malchikov-winner-stile-2035-sinij-s-chernym/	https://nicktoys.com.ua/wp-content/uploads/2020/02/2035-1-800x1049.jpg	702612370	in stock	PL-00031574	Школьные Наборы и Ранцы
958.00 UAH	Ранец Школьный Для Мальчиков Winner-stile 2030 Синий с Черным	Ранец школьный «Раскладушка», – это классическая модель ранцев, которая так полюбилась школьникам. Несмотря на такую популярность, наша модель имеет что-то свое особенное и красивое, такой ранец выделит вашего ребенка и станет отличным дополнением к его гардеробу. Данная модель может полностью раскладываться и принимать плоскую форму. Отделения: в центральном отделении имеется два разделителя и резинка  для крепления школьных принадлежностей. На передней части ранца расположен карман на молнии, украшенный объемной 3D картинкой. Два кармана по бокам. В комплекте: бирка с индивидуальным штрих кодом и описанием. Брелок – мячик имеет ряд качественных и удобных деталей. • качественные молнии фирмы « sbs » + фирменные бегунки и фурнитура. • удобная ручка для переноски ранца. • вентилируемые мягкие лямки для снижения нагрузки с плеч ребенка. • светоотражающие элементы расположены на передней, задней и боковой частях ранца для обеспечения безопасности в темное время суток. • ножки, обеспечивают устойчивость ранца. • дополнительными строчками для укрепления  прошиты все места, на которые приходятся основные нагрузки • облегченный каркас ранца изготовлен по жестко каркасной технологии, что обеспечивает правильную эргономичную форму. Каркас не деформируется при нагрузке и распределяет вес по всей площади ранца. • эргономичная спинка ранца разработана с учетом анатомии ребенка. Позвоночник защищен специально сконструированной спинкой, что делает ношение ранца максимально удобным. • разделители для удобного распределения , фиксации тетрадей и учебников. • передний  клапан ранца, украшен объемной 3D картинкой.	https://nicktoys.com.ua/product/ranec-shkolnyj-dlja-malchikov-winner-stile-2030-sinij-s-chernym/	https://nicktoys.com.ua/wp-content/uploads/2020/02/2030-1-800x1057.jpg	2834935567	in stock	PL-00031569	Школьные Наборы и Ранцы
756.00 UAH	Рюкзак Школьный Для Девочек Winner-stile 8021 Розовый	Форма:  детский рюкзак. Отделения:  в рюкзаке два основных отделения.. Первое основное отделение (у спинки) с 2 двумя разделителями и резинкой для крепления школьных принадлежностей. Второе отделение без наполнения. Карманы:  спереди вместительный карман на молнии украшенный объёмной 3D картинкой, без наполнения. По бокам два кармана-сеточки на резинке. В комплекте:  бирка с индивидуальным штрих кодом и описанием. Мягкая игрушка-мишка (для девочки) имеет ряд качественных и удобных деталей: качественные молнии фирмы" sbs "+ фирменные бегунки и фурнитура.  Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки. Светоотражатели. Верхняя удобная тканевая ручка, для переноски рюкзака.                  Детали          производитель    Winner-stile            артикул    8021            Страна-производитель товара    китай            пол    для девочек            вид    школьные            материал верха    полиэстер            тип    рюкзаки            вес    650 гр            цвет    розовый            размер    29 x 17.5 x 38.5            страна регистрации бренда    украина            гарантия    30 дней            комплектация    Брелок-мишка            особенности	https://nicktoys.com.ua/product/rjukzak-shkolnyj-dlja-devochek-winner-stile-8021-rozovyj/	https://nicktoys.com.ua/wp-content/uploads/2020/02/8021-1-800x945.jpg	3055975357	in stock	PL-00031597	Школьные Наборы и Ранцы
756.00 UAH	Рюкзак Школьный Для Мальчиков Winner-stile 928-1 Чёрный с Синим	Форма:Детский рюкзак. Отделения:В рюкзаке три отделения. Первое основное отделение (у спинки) с 2 двумя разделителями и резинкой для крепления школьных принадлежностей. Второе отделение без наполнения. Третье отделение с органайзером для письменных принадлежностей, украшенное объёмной 3D картинкой. Карманы:Спереди карман под канцелярские принадлежности. По бокам два кармана-сеточки на резинке и карабинами. В комплекте:Бирка с индивидуальным штрих кодом и описанием. Брелок – мячик (для мальчика) мягкая игрушка-мишка (для девочки) имеет ряд качественных и удобных деталей: качественные молнии фирмы " sbs " + фирменные бегунки и фурнитура.Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки. Светоотражатели. Верхняя удобная тканевая ручка, для переноски рюкзака.	https://nicktoys.com.ua/product/rjukzak-shkolnyj-dlja-malchikov-winner-stile-928-1-chjornyj-s-sinim/	https://nicktoys.com.ua/wp-content/uploads/2020/02/928-1-1-800x971.jpg	1241884951	in stock	PL-00031619	Школьные Наборы и Ранцы
783.00 UAH	Рюкзак Школьный Для Девочек Winner-stile 240-а Черный с Розовым	Вместительный школьный рюкзак для девочек. Качественные молнии фирмы «SBS» + фирменные бегунки и фурнитурадополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки с укрепляющими ремнями верхняя удобная тканевая ручка, для переноски рюкзака.	https://nicktoys.com.ua/product/rjukzak-shkolnyj-dlja-devochek-winner-stile-240-a-chernyj-s-rozovym/	https://nicktoys.com.ua/wp-content/uploads/2020/02/240A-1-800x800.jpg	3373512296	in stock	PL-00031584	Школьные Наборы и Ранцы
958.00 UAH	Ранец Школьный Для Мальчиков Winner-stile 2034 Синий с Черным	Ранец школьный «Раскладушка», – это классическая модель ранцев, которая так полюбилась школьникам. Несмотря на такую популярность, наша модель имеет что-то свое особенное и красивое, такой ранец выделит вашего ребенка и станет отличным дополнением к его гардеробу. Данная модель может полностью раскладываться и принимать плоскую форму. Отделения: в центральном отделении имеется два разделителя и резинка  для крепления школьных принадлежностей. На передней части ранца расположен карман на молнии, украшенный объемной 3D картинкой. Два кармана по бокам. В комплекте: бирка с индивидуальным штрих кодом и описанием. Брелок – мячик имеет ряд качественных и удобных деталей. • качественные молнии фирмы « sbs » + фирменные бегунки и фурнитура. • удобная ручка для переноски ранца. • вентилируемые мягкие лямки для снижения нагрузки с плеч ребенка. • светоотражающие элементы расположены на передней, задней и боковой частях ранца для обеспечения безопасности в темное время суток. • ножки, обеспечивают устойчивость ранца. • дополнительными строчками для укрепления  прошиты все места, на которые приходятся основные нагрузки • облегченный каркас ранца изготовлен по жестко каркасной технологии, что обеспечивает правильную эргономичную форму. Каркас не деформируется при нагрузке и распределяет вес по всей площади ранца. • эргономичная спинка ранца разработана с учетом анатомии ребенка. Позвоночник защищен специально сконструированной спинкой, что делает ношение ранца максимально удобным. • разделители для удобного распределения , фиксации тетрадей и учебников. • передний  клапан ранца, украшен объемной 3D картинкой.	https://nicktoys.com.ua/product/ranec-shkolnyj-dlja-malchikov-winner-stile-2034-sinij-s-chernym/	https://nicktoys.com.ua/wp-content/uploads/2020/02/2034-1-800x1073.jpg	301863907	in stock	PL-00031573	Школьные Наборы и Ранцы
972.00 UAH	Рюкзак Школьный Для Мальчиков Winner-stile 246-1  Синий	Форма:Рюкзак. Отделения:1) в рюкзаке два больших отделения. 2) отделение с органайзером, для письменных принадлежностей +противоударный чухол для компьютера и привод для подключения смартфона .Противо ударный чехол для ноутбука Карманы:Спереди два кармана на молнии. По бокам два кармана-сеточки. Сзади потайной карман на молнии. В комплекте:Бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей. Качественные молнии фирмы "sbs" + фирменные бегунки и фурнитурадополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки с укрепляющими ремнями в форме "маечки" верхняя удобная  ручка, для переноски рюкзака. Слот переходник для наушников.	https://nicktoys.com.ua/product/rjukzak-shkolnyj-dlja-malchikov-winner-stile-246-1-sinij/	https://nicktoys.com.ua/wp-content/uploads/2020/02/246-1-1-800x800.jpg	383204735	in stock	PL-00031629	Школьные Наборы и Ранцы
756.00 UAH	Рюкзак Школьный Для Мальчиков Winner-stile 8016 Чёрный	Форма:Детский рюкзак. Отделения:В рюкзаке три отделения. Первое основное отделение (у спинки) с 2 двумя разделителями и резинкой для крепления школьных принадлежностей. Второе отделение без наполнения. Третье отделение с органайзером для письменных принадлежностей, украшенное объёмной 3D картинкой. Карманы:По бокам два кармана-сеточки на резинке. В комплекте:Бирка с индивидуальным штрих кодом и описанием. Брелок – мячик (для мальчика) мягкая игрушка-мишка (для девочки) имеет ряд качественных и удобных деталей: качественные молнии фирмы " sbs " + фирменные бегунки и фурнитура.Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки. Светоотражатели. Верхняя удобная тканевая ручка, для переноски рюкзака.	https://nicktoys.com.ua/product/rjukzak-shkolnyj-dlja-malchikov-winner-stile-8016-chjornyj/	https://nicktoys.com.ua/wp-content/uploads/2020/02/8016-1-800x949.jpg	436040006	in stock	PL-00031613	Школьные Наборы и Ранцы
756.00 UAH	Рюкзак Школьный Для Мальчиков Winner-stile 8033 Синий	Форма:  детский рюкзак. Отделения:  в рюкзаке два основных отделения. Первое основное отделение (у спинки) с 2 двумя разделителями и резинкой для крепления школьных принадлежностей. Второе отделение без наполнения. Карманы:  спереди вместительный карман на молнии украшенный объёмной 3D картинкой, без наполнения.  Спереди снизу, карман под пенал. По бокам два кармана-сеточки на резинке. В комплекте:  бирка с индивидуальным штрих кодом и описанием. Брелок – мячик (для мальчика) имеет ряд качественных и удобных деталей  качественные молнии фирмы" sbs "+ фирменные бегунки и фурнитура.  Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки. Светоотражатели. Верхняя удобная тканевая ручка, для переноски рюкзака.  Недавно просмотренные                 детали          производитель    Winner-stile            артикул    8033            Страна-производитель товара    китай            пол    для мальчиков            вид    школьные            материал верха    полиэстер            тип    рюкзаки            вес    650 гр            цвет    синий            размер    29 x 17.5 x 38.5            страна регистрации бренда    украина            гарантия    30 дней            комплектация    Брелок-мячик            особенности                                похожие товары                     рюкзак школьный для девочек Winner-stile 194-2-1 чёрный с розовым  ₴ 700.00 в корзину             рюкзак школьный для девочек Winner-stile 8001 розовый  ₴ 756.00 в корзину             ранец школьный для мальчиков Winner-stile 2035 синий с черным  ₴ 958.00 в корзину             рюкзак школьный для девочек Winner-stile 240-а черный с розовым  ₴ 783.00 в корзину	https://nicktoys.com.ua/product/rjukzak-shkolnyj-dlja-malchikov-winner-stile-8033-sinij/	https://nicktoys.com.ua/wp-content/uploads/2020/02/8033-1-800x891.jpg	902326789	in stock	PL-00031617	Школьные Наборы и Ранцы
756.00 UAH	Рюкзак Школьный Для Мальчиков Winner-stile 8032 Синий	Форма:  детский рюкзак. Отделения:  в рюкзаке два основных отделения. Первое основное отделение (у спинки) с 2 двумя разделителями и резинкой для крепления школьных принадлежностей. Второе отделение без наполнения. Карманы:  спереди вместительный карман на молнии украшенный объёмной 3D картинкой, без наполнения.  Спереди снизу, карман под пенал. По бокам два кармана-сеточки на резинке. В комплекте:  бирка с индивидуальным штрих кодом и описанием. Брелок – мячик (для мальчика) имеет ряд качественных и удобных деталей:Качественные молнии фирмы" sbs "+ фирменные бегунки и фурнитура.  Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки. Светоотражатели. Верхняя удобная тканевая ручка, для переноски рюкзака.  Недавно просмотренные                 детали          производитель    Winner-stile            артикул    8032            Страна-производитель товара    китай            пол    для мальчиков            вид    школьные            материал верха    полиэстер            тип    рюкзаки            вес    650 гр            цвет    синий            размер    29 x 17.5 x 38.5            страна регистрации бренда    украина            гарантия    30 дней            комплектация    Брелок-мячик            особенности                                похожие товары                     ранец школьный для девочек de lune 6-124 голубой с розовым  ₴ 1,593.00 в корзину             рюкзак школьный для мальчиков Winner-stile 928-2 чёрный с жёлтым  ₴ 756.00 в корзину             рюкзак школьный для девочек Winner-stile 194-1-2 чёрно-розовый  ₴ 700.00 в корзину             рюкзак школьный для девочек Winner-stile 194-2-2 розовый  ₴ 700.00 в корзину	https://nicktoys.com.ua/product/rjukzak-shkolnyj-dlja-malchikov-winner-stile-8032-sinij/	https://nicktoys.com.ua/wp-content/uploads/2020/02/8032-1-800x937.jpg	4066820883	in stock	PL-00031616	Школьные Наборы и Ранцы
