price	title	description	link	image_link	id	availability	product_type
1695 UAH	Кросcовки Для Девочек E30 White	Подкладка: коттон. Материал верха: pu.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_30_white.html	https://evie.ua/upload/resize_cache/iblock/1db/500_500_1/1db194cdfd780f2896544dbb1f76f4f3.jpg	14352	in stock	Обувь Девочкам > Лето > Кеды
1695 UAH	Кросcовки Для Девочек E30 Silver	Подкладка: коттон. Материал верха: pu.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_30_silver.html	https://evie.ua/upload/resize_cache/iblock/7ae/500_500_1/7ae26890aec8ccad6c7b6f756d4e3d46.jpg	14357	in stock	Обувь Девочкам > Лето > Кеды
1695 UAH	Кроcсовки Для Девочек E30 Black	Подкладка: коттон. Материал верха: pu.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_30_black.html	https://evie.ua/upload/resize_cache/iblock/758/500_500_1/7583d25d9ed25dac89f365b23682712f.jpg	14362	in stock	Обувь Девочкам > Лето > Кеды
1695 UAH	Кросcовки Для Девочек Kelly Silver	Подкладка: текстиль. Материал верха: pu.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/kelly_silver_.html	https://evie.ua/upload/resize_cache/iblock/936/500_500_1/936359560b188659ae1618c3ddafb343.jpg	14372	in stock	Обувь Девочкам > Лето > Кеды
1695 UAH	Кросcовки Для Девочек Kelly Black	Подкладка: текстиль. Материал верха: pu.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/kelly_black.html	https://evie.ua/upload/resize_cache/iblock/6c9/500_500_1/6c94fa79dacea8235cc184617af4d3bc.jpg	14386	in stock	Обувь Девочкам > Лето > Кеды
1695 UAH	Кросcовки Для Девочек Kelly Gold Neon	Подкладка: текстиль. Материал верха: pu.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/kelly_gold_neon_.html	https://evie.ua/upload/resize_cache/iblock/502/500_500_1/502ca9ec63f31cc41409ce7d14417ee7.jpg	14405	in stock	Обувь Девочкам > Лето > Кеды
1326.50 UAH	Кроссовки Для Девочек E37 White-Yellow	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_37_white_yellow.html	https://evie.ua/upload/resize_cache/iblock/d2a/500_500_1/d2a686eb8f5ac9c9c5714b2918ee609d.jpg	14447	in stock	Обувь Девочкам > Лето > Кеды
1326.50 UAH	Кросcовки Для Девочек E33 White-Pink	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_33_white_pink.html	https://evie.ua/upload/resize_cache/iblock/8ae/500_500_1/8ae0f3e05de5201291f4fa854080518a.jpg	14457	in stock	Обувь Девочкам > Лето > Кеды
1326.50 UAH	Кроссовки Для Девочек E35 White-Pink	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_35_white_pink.html	https://evie.ua/upload/resize_cache/iblock/183/500_500_1/18340f3ca58fa24ceda377060cf8da1e.jpg	14462	in stock	Обувь Девочкам > Лето > Кеды
1395 UAH	Слипоны Для Девочек Blake Bronze	Подкладка: натуральная кожа. Материал верха: матовая кожа на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/blake_bronze.html	https://evie.ua/upload/resize_cache/iblock/9ad/500_500_1/9ad4f70535d8417284e1e10caeb644f2.jpg	14629	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Saba Pink Star	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры, с дополнительной защитой от царапин.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_pink_star.html	https://evie.ua/upload/resize_cache/iblock/e20/500_500_1/e20955da9136730722d2305d31043212.jpg	14060	in stock	Обувь Девочкам > Деми > Кроссовки
2120.70 UAH	Кроссовки Для Девочек E9 Black	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_9_black.html	https://evie.ua/upload/resize_cache/iblock/b78/500_500_1/b780252986ad169181edd0e59e250719.jpg	11570	in stock	Обувь Девочкам > Лето > Кеды
2495 UAH	Кроссовки Для Девочек E12 White	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_12_white.html	https://evie.ua/upload/resize_cache/iblock/9c6/500_500_1/9c655e834a9e0eb995f947b4a0f2d1ab.jpg	11582	in stock	Обувь Девочкам > Лето > Кеды
1495 UAH	Кроссовки Для Девочек Misty Silver	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/misty_silver.html	https://evie.ua/upload/resize_cache/iblock/835/500_500_1/8358b7b9fd05de2e0a00b66213d1bff0.jpg	14274	in stock	Обувь Девочкам > Деми > Кроссовки
1395 UAH	Кроссовки Для Девочек Misty Black-Pink	Подкладка: дышащий коттон. Материал верха: лак на основе микрофибры, дышащий неопрен.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/misty_black_pink.html	https://evie.ua/upload/resize_cache/iblock/26e/500_500_1/26e8a7c5a39bcf5a11bc3e7cd9f52151.JPG	14283	in stock	Обувь Девочкам > Деми > Кроссовки
1495 UAH	Кроссовки Для Девочек Misty Blue	Подкладка: войлок. Материал верха: лак на основе микрофибры, дышащий неопрен.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/misty_blue.html	https://evie.ua/upload/resize_cache/iblock/c7d/500_500_1/c7d1fa8fbc51d8e37c24c8a5c6ec9a28.jpg	14294	in stock	Обувь Девочкам > Деми > Кроссовки
1395 UAH	Кроссовки Для Девочек Misty Black	Подкладка: войлк. Материал верха: лак на основе микрофибры, дышащий неопрен.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/misty_black.html	https://evie.ua/upload/resize_cache/iblock/12d/500_500_1/12d8080adc2707406c3abbfda22d79f7.jpg	14320	in stock	Обувь Девочкам > Деми > Кроссовки
1196 UAH	Кроссовки Для Девочек Saba Silver Matt	Подкладка: натуральная кожа. Материал верха: матовая кожа на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_silver_matt.html	https://evie.ua/upload/resize_cache/iblock/895/500_500_1/895de9f13c3abb796da12a038ea2c36e.jpg	9302	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Saba White Neon	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_white_neon.html	https://evie.ua/upload/resize_cache/iblock/13c/500_500_1/13c4756212f9741b045d50ca5dd62ce9.jpg	11430	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Saba White-Blue Neon	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_white_blue_neon.html	https://evie.ua/upload/resize_cache/iblock/99c/500_500_1/99c5a830718b54e1712494c638c944eb.jpg	11440	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Saba Silver Neon	Подкладка: натуральная кожа. Материал верха: микрофибра с покрытием винил.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_silver_neon.html	https://evie.ua/upload/resize_cache/iblock/021/500_500_1/021f7ee8d8caddcd0356490336d5bd9b.jpg	11539	in stock	Обувь Девочкам > Лето > Кеды
1372.20 UAH	Кроссовки Для Девочек E11 Blue	Подкладка: натуральная кожа. Материал верха: натуральная кожа+замша.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_11_blue.html	https://evie.ua/upload/resize_cache/iblock/bb0/500_500_1/bb0658168a94d2735d7a403de2cd28d2.jpg	11559	in stock	Обувь Девочкам > Лето > Кеды
2495 UAH	Кроссовки Для Девочек E14 Black	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_14_black.html	https://evie.ua/upload/resize_cache/iblock/f06/500_500_1/f06f9d5e4a624ea4d7414cd447dfb0bf.jpg	11591	in stock	Обувь Девочкам > Лето > Кеды
2495 UAH	Кроссовки Для Девочек E15 Pudra	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_15_pudra.html	https://evie.ua/upload/resize_cache/iblock/395/500_500_1/395d8e81b7adc65d167f97d40d770687.jpg	11594	in stock	Обувь Девочкам > Лето > Кеды
1372.20 UAH	Кроссовки Для Девочек E16 White Silver	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_16_white_silver.html	https://evie.ua/upload/resize_cache/iblock/262/500_500_1/26297bc3e708d068a81dfa470d0f2178.JPG	11724	in stock	Обувь Девочкам > Лето > Кеды
1746.50 UAH	Кроссовки Для Девочек E17 Silver Neon	Подкладка: натуральная кожа. Материал верха: микрофибра c покрытием неон.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/e_17_silver_neon.html	https://evie.ua/upload/resize_cache/iblock/4ef/500_500_1/4efef22c0cd9fe91db83b2c981c56bda.JPG	11870	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Saba New Black	Подкладка: натуральная кожа. Материал верха: лак на основе микрофибры с защитным покрытием.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_new_black.html	https://evie.ua/upload/resize_cache/iblock/2d1/500_500_1/2d1d1771a63c286c2e6071f3959b7615.jpg	12716	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Saba Silver Glitter	Подкладка: кожа. Материал верха: лак на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_silver_glitter.html	https://evie.ua/upload/resize_cache/iblock/b61/500_500_1/b61eb1edbcf948203edd0f6a567ba435.jpg	9252	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Saba Gold Matt	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_gold_matt.html	https://evie.ua/upload/resize_cache/iblock/a5b/500_500_1/a5bec1d7822303348022aa6f4269abff.jpg	9292	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Saba White Matt	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_white_matt.html	https://evie.ua/upload/resize_cache/iblock/09c/500_500_1/09c05280f07c5c168c873cdc9e316bde.jpg	9322	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Saba Pink Matt	Подкладка: натуральная кожа. Материал верха: натуральная матовая кожа на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_pink_matt.html	https://evie.ua/upload/resize_cache/iblock/71e/500_500_1/71e6a1ea7b005820c346fa59d69301b8.jpg	11488	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Saba Numbers White	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_numbers_white.html	https://evie.ua/upload/resize_cache/iblock/1ed/500_500_1/1ed549fe32cf6069f7d0eb66be0a0c38.jpg	11498	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Saba Neon White Rose	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_neon_white_rose.html	https://evie.ua/upload/resize_cache/iblock/033/500_500_1/033b7ff55e17b4f7e9503f0ef1b97cf3.jpg	11508	in stock	Обувь Девочкам > Лето > Кеды
638 UAH	Кроссовки Для Девочек Diesel Silver	Подкладка: натуральная кожа. Материал верха: натуральный лак.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/diesel_silver.html	https://evie.ua/upload/resize_cache/iblock/1c7/500_500_1/1c7f8e3d2f2f565fc66b9ffcadb9fa75.JPG	10028	in stock	Обувь Девочкам > Лето > Кеды
